Study Hour,Previous Exam Score,Attendance,Score
4.42,3.04,0,160.84
0.5,1.93,1,107.5
3.23,1.96,1,114.46
2.93,8.46,1,438.86
0.39,4.22,1,221.78
5.18,1.88,1,114.36
7.96,3.83,1,217.42
2.78,2.86,1,158.56
6.44,1.7,1,107.88
7.74,5.39,1,294.98
6.9,3.45,1,196.3
5.49,3.19,1,180.48
7.75,9.31,1,491.0
9.0,3.01,1,178.5
8.31,2.63,1,158.12
5.0,2.69,1,154.5
5.23,6.61,0,340.96
7.48,0.76,1,62.96
4.94,5.19,0,269.38
0.13,3.78,1,199.26
1.99,4.41,0,224.48
8.36,6.78,1,365.72
3.21,3.94,1,213.42
0.63,6.39,1,330.76
13.06,1.1,1,91.12
9.31,1.61,1,109.12
0.07,6.63,1,341.64
4.09,4.14,1,225.18
1.8,5.36,1,281.6
8.18,4.78,0,255.36
3.52,3.59,0,186.54
6.68,3.9,0,208.36
5.21,1.69,1,104.92
5.3,8.66,1,453.6
0.97,4.13,0,208.44
2.98,7.81,1,406.46
3.42,6.88,1,360.84
4.52,2.61,1,149.54
9.37,4.02,1,229.74
5.49,6.39,0,330.48
2.65,6.1,1,320.3
7.38,8.38,1,443.76
2.23,1.2,1,74.46
2.82,0.7,1,50.64
6.05,0.57,1,50.6
10.03,11.25,1,592.56
4.71,3.05,0,161.92
8.56,5.02,1,278.12
0.04,7.95,1,407.58
8.86,4.67,1,261.22
7.43,10.07,0,518.36
7.86,2.7,1,160.72
6.19,6.35,1,339.88
4.89,10.85,1,562.28
4.17,0.09,1,22.84
6.28,6.88,1,366.56
3.46,9.61,1,497.42
9.38,4.57,1,257.26
5.14,4.16,1,228.28
1.93,6.78,1,352.86
7.34,5.27,1,288.18
6.1,6.61,1,352.7
7.06,6.76,1,362.12
6.57,4.69,0,247.64
10.59,3.38,1,200.18
3.14,4.83,0,247.78
0.33,5.28,1,274.66
5.12,0.29,1,34.74
4.36,3.78,1,207.72
7.02,6.48,1,348.04
5.33,2.55,1,148.16
7.39,5.17,1,283.28
0.05,3.87,1,203.6
9.34,4.01,1,229.18
1.62,8.77,1,451.74
6.82,2.56,1,151.64
2.68,4.37,1,233.86
3.2,7.28,1,380.4
4.63,5.08,1,273.26
2.68,6.54,1,342.36
4.06,3.73,1,204.62
5.4,5.21,1,281.3
7.75,7.13,1,382.0
3.49,11.4,1,586.98
4.96,3.41,1,190.42
5.74,7.89,0,405.98
5.71,5.09,0,265.92
6.87,9.09,1,478.24
6.76,2.26,1,136.52
0.56,4.53,1,237.62
0.35,7.3,1,375.7
9.35,12.06,1,631.7
6.14,5.12,1,278.28
0.24,5.5,1,285.48
8.6,4.96,1,275.2
5.54,2.12,1,127.08
4.6,2.13,0,115.7
2.98,3.69,1,200.46
8.34,5.74,1,313.68
8.54,6.13,1,333.58
1.22,3.31,1,177.94
3.04,7.89,1,410.58
4.31,1.67,1,102.12
3.54,9.21,1,477.58
5.31,4.3,1,235.62
4.74,2.76,1,157.48
4.86,7.53,1,396.22
1.53,4.66,1,246.06
6.85,4.28,1,237.7
1.84,10.42,0,524.68
2.79,7.62,1,396.58
6.94,8.99,0,463.38
8.34,0.83,0,58.18
2.43,4.69,1,249.36
7.36,5.17,0,273.22
0.59,5.65,1,293.68
7.89,4.72,1,261.78
5.91,3.35,1,189.32
5.24,7.54,1,397.48
0.55,2.4,0,121.1
3.66,9.68,1,501.32
6.44,3.54,0,189.88
8.98,8.84,1,469.96
3.6,3.04,1,169.2
5.83,9.33,0,478.16
6.41,7.45,1,395.32
6.13,7.87,1,415.76
0.83,2.58,1,140.66
0.61,4.2,1,221.22
3.9,4.29,1,232.3
6.25,3.62,0,193.5
5.77,2.71,1,157.04
7.59,9.02,1,476.18
6.95,5.15,1,281.4
12.67,7.39,1,404.84
0.25,7.18,1,369.5
0.53,7.43,1,382.56
9.37,2.06,1,131.74
6.64,6.17,1,331.78
6.04,0.28,1,36.08
1.06,11.32,1,578.12
1.05,4.59,1,241.6
6.09,4.24,0,224.18
3.54,7.65,0,389.58
1.57,6.91,1,358.64
9.22,5.33,1,294.94
2.23,1.36,1,82.46
6.84,2.39,1,143.18
6.87,6.21,0,324.24
10.26,8.97,1,479.02
7.9,8.23,1,437.3
6.97,1.98,0,112.94
7.46,1.87,0,108.42
3.14,3.85,1,208.78
11.97,4.71,0,259.44
5.96,3.29,1,186.42
5.19,4.95,1,267.88
3.4,3.61,0,187.3
6.51,8.37,1,441.52
9.12,6.98,1,377.24
5.3,6.64,1,352.6
7.08,1.36,1,92.16
3.2,1.37,1,84.9
3.98,0.36,1,35.96
8.52,3.89,0,211.54
1.27,2.51,1,138.04
6.78,8.47,1,447.06
9.65,5.07,0,272.8
1.86,6.43,0,325.22
8.33,9.95,1,524.16
3.55,7.44,1,389.1
6.4,1.98,1,121.8
2.72,0.17,1,23.94
10.44,6.79,0,360.38
1.11,6.65,1,344.72
1.98,2.28,1,127.96
3.98,7.45,1,390.46
1.87,5.82,1,304.74
3.61,4.35,1,234.72
10.95,10.47,1,555.4
7.37,3.21,1,185.24
8.09,3.62,1,207.18
6.5,11.87,1,616.5
0.27,11.46,1,583.54
1.35,5.93,1,309.2
2.28,5.84,1,306.56
4.75,2.41,1,140.0
10.16,4.92,0,266.32
2.61,0.72,0,41.22
2.86,4.45,1,238.22
4.63,4.1,1,224.26
5.33,6.28,1,334.66
0.03,9.03,1,461.56
7.49,11.65,1,607.48
10.98,10.83,1,573.46
0.61,9.0,1,461.22
3.11,5.98,1,315.22
2.89,3.86,1,208.78
8.3,5.76,1,314.6
5.31,4.35,1,238.12
1.0,4.19,0,211.5
9.47,6.91,1,374.44
2.62,6.01,1,315.74
2.87,4.37,1,234.24
9.36,5.67,1,312.22
1.2,5.07,1,265.9
9.47,5.38,0,287.94
6.24,0.9,1,67.48
6.27,6.19,1,332.04
2.43,5.05,1,267.36
5.66,2.99,1,170.82
6.86,9.82,1,514.72
8.3,7.18,1,385.6
4.64,2.48,1,143.28
3.03,3.84,0,198.06
4.3,7.24,1,380.6
3.38,0.38,1,35.76
1.56,2.7,1,148.12
5.59,7.58,1,400.18
4.41,5.42,1,289.82
5.62,7.22,1,382.24
3.92,1.48,1,91.84
8.51,5.1,1,282.02
8.18,1.24,1,88.36
7.2,3.79,1,213.9
4.87,5.54,1,296.74
5.37,6.83,1,362.24
4.54,2.63,1,150.58
3.64,8.93,1,463.78
2.24,1.78,1,103.48
5.31,10.81,1,561.12
4.93,8.2,0,419.86
6.54,7.11,1,378.58
8.07,3.29,1,190.64
6.94,2.49,1,148.38
10.92,2.8,1,171.84
6.89,9.23,0,475.28
4.62,1.5,1,94.24
10.1,6.87,1,373.7
4.47,8.93,1,465.44
1.06,8.66,1,445.12
5.38,6.17,0,319.26
1.94,6.1,1,318.88
6.82,3.76,0,201.64
4.72,3.38,1,188.44
4.51,6.6,1,349.02
4.15,5.57,0,286.8
4.82,7.55,1,397.14
5.01,0.55,1,47.52
6.57,10.29,1,537.64
2.42,3.11,1,170.34
6.71,3.98,1,222.42
4.62,7.92,1,415.24
5.75,5.9,1,316.5
6.56,9.34,1,490.12
5.28,7.36,1,388.56
3.87,5.52,1,293.74
5.46,3.73,0,197.42
4.4,6.01,1,319.3
8.12,4.58,0,245.24
4.35,4.92,1,264.7
10.38,5.22,0,281.76
8.51,1.19,1,86.52
3.65,4.69,1,251.8
6.49,1.66,0,95.98
2.61,5.98,1,314.22
4.59,5.77,0,297.68
8.73,9.25,1,489.96
7.55,0.37,1,43.6
0.96,5.23,1,273.42
3.42,3.76,1,204.84
6.05,5.54,1,299.1
4.02,9.47,1,491.54
9.48,9.96,1,526.96
0.04,3.8,1,200.08
4.25,6.17,1,327.0
1.3,3.54,1,189.6
8.83,4.99,1,277.16
2.41,5.76,1,302.82
5.71,4.61,0,241.92
1.99,3.71,1,199.48
7.47,4.13,1,231.44
2.65,4.1,1,220.3
6.27,10.36,1,540.54
6.05,4.25,0,224.6
5.86,8.66,1,454.72
1.96,4.16,1,221.92
5.38,3.38,1,189.76
2.22,6.64,1,346.44
3.09,2.38,0,125.18
6.6,4.65,1,255.7
1.97,8.23,1,425.44
5.42,6.8,0,350.84
7.09,8.7,1,459.18
3.66,5.6,1,297.32
8.74,5.09,1,281.98
7.27,5.48,1,298.54
8.63,5.15,0,274.76
5.64,11.18,1,580.28
7.41,3.44,0,186.82
5.08,7.18,0,369.16
11.1,3.95,1,229.7
5.93,7.66,1,404.86
6.98,9.45,0,486.46
5.7,7.96,1,419.4
4.22,7.35,1,385.94
6.08,4.0,1,222.16
6.44,9.03,0,464.38
9.86,2.36,1,147.72
7.57,0.1,1,30.14
0.95,7.01,1,362.4
6.54,5.13,1,279.58
6.64,3.42,1,194.28
5.76,1.82,1,112.52
5.53,2.14,1,128.06
1.0,12.51,1,637.5
4.95,1.92,1,115.9
4.66,6.85,1,361.82
0.65,8.03,1,412.8
0.95,0.84,1,53.9
6.76,8.64,0,445.52
0.29,2.78,1,149.58
4.77,7.14,0,366.54
6.69,3.25,1,185.88
10.73,0.96,1,79.46
0.09,7.01,1,360.68
6.17,0.3,1,37.34
5.6,1.55,1,98.7
0.61,10.14,0,508.22
3.82,2.26,1,130.64
6.41,6.96,1,370.82
8.21,5.97,1,324.92
9.78,1.34,0,86.56
4.52,7.14,1,376.04
9.73,9.3,1,494.46
2.48,6.03,0,306.46
9.13,5.02,1,279.26
4.44,13.41,1,689.38
4.43,8.25,1,431.36
5.23,2.06,1,123.46
2.72,7.61,1,395.94
4.54,8.07,1,422.58
2.04,5.24,1,276.08
0.55,4.68,1,245.1
1.87,4.02,1,214.74
4.57,4.09,1,223.64
4.1,7.47,0,381.7
1.87,5.44,1,285.74
7.66,4.42,1,246.32
7.24,0.98,1,73.48
3.2,4.68,1,250.4
0.89,6.59,0,331.28
9.14,8.12,1,434.28
1.77,5.53,1,290.04
6.21,10.9,1,567.42
5.15,0.7,1,55.3
6.54,4.96,1,271.08
7.49,1.85,0,107.48
0.73,9.0,1,461.46
6.42,4.84,0,254.84
4.75,3.39,1,189.0
0.12,5.48,1,284.24
3.73,4.93,1,263.96
6.78,5.88,1,317.56
4.07,0.02,1,19.14
3.23,6.45,1,338.96
9.61,7.6,1,409.22
4.44,8.45,1,441.38
8.18,6.23,1,337.86
5.89,3.42,1,192.78
3.1,2.47,1,139.7
8.22,4.72,1,262.44
6.15,0.85,0,54.8
8.22,3.19,0,175.94
2.3,3.36,1,182.6
3.85,6.88,0,351.7
2.22,5.88,1,308.44
7.09,1.44,1,96.18
3.99,8.64,1,449.98
3.87,0.7,1,52.74
6.12,4.93,1,268.74
8.31,7.1,1,381.62
3.36,4.78,1,255.72
12.04,1.9,0,119.08
2.39,2.16,1,122.78
5.54,5.71,1,306.58
1.12,4.09,1,216.74
9.26,0.24,1,40.52
1.38,7.31,1,378.26
3.86,0.97,1,66.22
5.81,3.96,1,219.62
6.19,1.25,1,84.88
6.93,4.47,1,247.36
12.78,7.57,1,414.06
5.32,10.04,1,522.64
3.71,6.93,1,363.92
5.96,0.45,1,44.42
5.46,2.17,1,129.42
9.32,1.66,0,101.64
0.96,3.26,1,174.92
7.09,1.69,1,108.68
2.37,4.25,1,227.24
0.13,2.66,0,133.26
8.69,8.89,1,471.88
6.83,0.35,1,41.16
6.69,1.28,1,87.38
4.95,6.09,1,324.4
7.31,9.32,1,490.62
0.61,4.91,1,256.72
6.55,3.51,1,198.6
7.0,7.66,0,397.0
1.93,4.65,1,246.36
6.85,3.72,1,209.7
6.78,6.47,1,347.06
5.2,0.28,1,34.4
7.05,10.35,1,541.6
8.36,8.55,1,454.22
2.03,4.42,1,235.06
4.06,8.62,1,449.12
4.27,4.8,1,258.54
4.44,2.43,1,140.38
2.55,5.37,1,283.6
7.23,9.38,0,483.46
3.5,2.74,1,154.0
2.55,6.96,1,363.1
5.9,6.78,1,360.8
0.11,9.62,1,491.22
8.15,2.01,1,126.8
2.75,4.36,0,223.5
6.69,7.37,1,391.88
0.55,7.77,1,399.6
9.75,5.52,1,305.5
8.24,9.98,1,525.48
1.56,5.6,1,293.12
3.25,5.78,0,295.5
3.04,6.96,1,364.08
1.2,2.76,1,150.4
4.61,5.85,1,311.72
7.4,8.3,1,439.8
6.86,5.57,1,302.22
1.95,4.26,1,226.9
5.98,2.08,1,125.96
6.48,3.12,1,178.96
8.59,5.33,1,293.68
6.26,8.02,0,413.52
4.79,4.45,1,242.08
10.05,5.37,0,288.6
7.15,6.0,1,324.3
1.21,8.47,1,435.92
4.92,8.63,1,451.34
8.88,9.84,1,519.76
8.94,7.51,0,393.38
4.93,3.91,1,215.36
7.06,7.91,1,419.62
4.01,7.62,1,399.02
6.36,10.4,1,542.72
5.63,8.5,1,446.26
7.73,2.05,1,127.96
8.14,0.53,0,42.78
8.36,5.6,1,306.72
3.94,4.54,1,244.88
7.93,3.16,1,183.86
0.06,3.2,1,170.12
9.76,2.45,1,152.02
5.82,5.42,1,292.64
2.75,5.24,1,277.5
3.3,7.39,1,386.1
0.77,3.95,1,209.04
3.15,6.9,0,351.3
5.93,5.12,1,277.86
7.93,5.77,1,314.36
6.43,3.78,1,211.86
6.93,5.28,1,287.86
7.58,3.39,1,194.66
7.16,6.76,1,362.32
5.97,1.38,1,90.94
3.71,2.41,1,137.92
3.86,0.36,1,35.72
2.92,6.32,0,321.84
4.95,1.38,0,78.9
2.0,1.7,1,99.0
0.46,5.38,1,279.92
4.01,9.07,1,471.52
1.89,9.04,1,465.78
1.78,4.85,1,256.06
7.17,0.84,1,66.34
4.38,2.15,0,116.26
7.71,1.32,1,91.42
10.51,6.82,0,362.02
4.39,6.72,1,354.78
2.1,7.1,1,369.2
8.25,6.88,1,370.5
4.69,10.91,1,564.88
8.54,7.21,1,387.58
1.66,1.35,1,80.82
7.37,3.49,1,199.24
2.33,7.76,1,402.66
0.15,1.47,1,83.8
3.85,5.11,1,273.2
2.75,10.56,1,543.5
3.23,3.63,0,187.96
5.06,9.66,1,503.12
10.24,7.55,1,407.98
1.51,5.16,0,261.02
8.92,2.38,1,146.84
10.34,5.28,0,284.68
0.23,7.81,1,400.96
3.53,2.47,1,140.56
5.45,4.61,1,251.4
8.62,2.58,1,156.24
5.5,4.84,1,263.0
10.01,4.14,1,237.02
4.44,4.93,0,255.38
0.34,2.15,1,118.18
9.53,11.8,0,609.06
13.31,6.07,1,340.12
3.06,4.74,1,253.12
2.67,6.15,0,312.84
7.7,4.15,1,232.9
6.08,4.52,1,248.16
3.73,2.27,0,120.96
8.13,3.82,1,217.26
7.88,3.38,0,184.76
5.88,5.93,0,308.26
7.34,6.62,1,355.68
5.83,9.98,0,510.66
0.97,5.19,0,261.44
6.99,5.32,1,289.98
5.23,9.14,1,477.46
9.15,2.44,1,150.3
7.84,3.58,1,204.68
5.97,7.86,1,414.94
5.01,0.57,1,48.52
4.94,11.28,1,583.88
7.95,0.11,0,21.4
9.39,4.34,1,245.78
3.77,8.9,1,462.54
0.9,3.73,1,198.3
8.6,7.42,1,398.2
4.92,7.2,1,379.84
5.67,5.83,1,312.84
1.12,5.99,1,311.74
4.98,5.31,1,285.46
9.48,3.4,1,198.96
4.54,6.4,1,339.08
7.12,3.29,0,178.74
7.68,6.04,1,327.36
5.74,10.8,0,551.48
1.4,0.91,0,48.3
5.97,10.24,1,533.94
6.47,9.41,0,483.44
4.49,12.03,1,620.48
7.79,3.61,1,206.08
0.43,6.2,1,320.86
7.85,8.35,1,443.2
7.08,0.16,1,32.16
2.92,8.57,1,444.34
5.13,10.05,1,522.76
5.86,1.58,1,100.72
5.54,6.32,1,337.08
4.27,2.69,1,153.04
6.9,8.47,1,447.3
3.75,6.71,1,353.0
7.02,8.06,1,427.04
4.39,2.86,0,151.78
9.08,2.41,1,148.66
4.59,4.64,1,251.18
5.16,5.11,1,275.82
2.64,4.91,1,260.78
3.57,2.29,1,131.64
2.42,0.12,0,10.84
5.27,6.38,1,339.54
4.85,5.65,0,292.2
3.81,8.51,0,433.12
4.55,2.23,1,130.6
4.12,3.79,1,207.74
4.98,6.9,1,364.96
7.46,5.71,1,310.42
0.41,3.99,1,210.32
1.36,9.55,1,490.22
5.85,12.19,1,631.2
3.18,4.79,1,255.86
9.77,2.96,1,177.54
5.66,9.02,1,472.32
8.24,5.69,1,310.98
6.03,6.71,1,357.56
6.34,6.88,1,366.68
5.65,8.01,1,421.8
3.38,1.13,1,73.26
7.88,5.24,1,287.76
5.36,11.29,1,585.22
5.81,5.77,1,310.12
2.13,0.62,1,45.26
5.03,6.78,1,359.06
1.69,2.87,0,146.88
2.73,5.27,1,278.96
1.64,1.72,0,89.28
1.74,1.89,1,107.98
8.32,8.27,1,440.14
4.73,6.96,1,367.46
5.1,8.41,1,440.7
1.81,7.28,1,377.62
4.57,8.1,1,424.14
6.09,6.15,0,319.68
7.4,0.24,1,36.8
7.54,0.42,1,46.08
3.7,5.75,1,304.9
7.42,6.27,1,338.34
6.04,3.02,1,173.08
3.59,7.88,1,411.18
4.46,6.98,1,367.92
5.53,1.57,0,89.56
3.34,7.2,1,376.68
2.22,7.64,1,396.44
1.23,3.46,0,175.46
1.18,5.7,1,297.36
6.79,5.55,1,301.08
4.74,10.06,1,522.48
2.5,4.04,0,207.0
2.67,4.21,0,215.84
3.48,6.23,1,328.46
6.3,4.56,0,240.6
4.54,10.86,1,562.08
6.46,3.82,0,203.92
0.95,8.04,0,403.9
5.24,12.54,0,637.48
5.3,7.17,0,369.1
8.48,7.55,1,404.46
2.67,8.02,1,416.34
3.59,4.0,1,217.18
6.79,6.07,0,317.08
1.65,9.3,1,478.3
5.41,1.69,1,105.32
5.49,2.9,1,165.98
2.19,3.68,0,188.38
5.44,4.92,1,266.88
1.21,8.85,0,444.92
1.42,1.59,1,92.34
4.21,7.37,1,386.92
9.1,5.48,0,292.2
9.36,5.73,0,305.22
2.41,4.87,0,248.32
3.46,3.47,1,190.42
6.97,2.0,0,113.94
6.59,0.67,1,56.68
2.46,7.25,1,377.42
1.01,2.98,1,161.02
6.9,5.43,1,295.3
0.37,0.3,1,25.74
2.22,3.95,0,201.94
7.55,8.05,0,417.6
7.34,1.04,0,66.68
6.25,8.22,1,433.5
12.13,2.26,1,147.26
6.32,9.41,1,493.14
3.83,6.1,1,322.66
1.64,5.24,1,275.28
4.11,9.94,1,515.22
7.4,8.4,1,444.8
5.25,2.74,1,157.5
9.51,0.64,0,51.02
2.21,5.1,1,269.42
6.82,10.79,1,563.14
6.49,4.87,0,256.48
8.4,0.79,0,56.3
1.17,0.52,1,38.34
7.72,3.69,1,209.94
7.38,4.72,1,260.76
6.83,6.57,1,352.16
2.6,14.33,1,731.7
1.05,4.37,1,230.6
6.26,2.42,1,143.52
0.09,1.66,1,93.18
4.38,5.77,1,307.26
3.51,7.45,1,389.52
2.41,3.88,1,208.82
7.91,2.12,0,121.82
6.67,6.76,1,361.34
6.43,5.35,1,290.36
8.17,8.8,1,466.34
3.94,6.61,1,348.38
4.82,5.14,1,276.64
3.43,7.74,1,403.86
3.53,4.71,0,242.56
12.28,9.31,1,500.06
8.71,4.5,0,242.42
2.32,9.03,1,466.14
2.75,3.83,1,207.0
3.12,3.45,1,188.74
2.01,6.2,1,324.02
9.0,11.8,1,618.0
0.31,3.77,1,199.12
1.93,5.2,1,273.86
1.47,0.89,1,57.44
0.29,2.44,1,132.58
7.01,3.84,1,216.02
2.02,1.42,1,85.04
2.27,6.0,0,304.54
4.18,5.89,0,302.86
6.0,1.18,1,81.0
8.16,9.88,1,520.32
5.96,3.07,1,175.42
4.48,8.55,1,446.46
4.65,4.84,1,261.3
7.31,5.46,1,297.62
9.32,5.77,1,317.14
0.52,3.59,0,180.54
5.53,2.94,1,168.06
6.0,2.94,1,169.0
5.94,3.42,1,192.88
5.6,1.63,1,102.7
9.6,0.82,1,70.2
1.22,1.11,1,67.94
2.18,4.53,1,240.86
6.13,0.32,1,38.26
6.29,7.66,1,405.58
1.18,1.04,1,64.36
6.06,1.95,1,119.62
0.18,2.55,0,127.86
2.35,4.1,1,219.7
2.24,3.79,1,203.98
4.82,1.88,1,113.64
1.59,4.73,1,249.68
5.65,3.42,1,192.3
2.36,7.62,1,395.72
1.2,7.24,1,374.4
0.02,6.7,1,345.04
2.04,0.29,1,28.58
4.21,8.97,1,466.92
1.94,10.28,0,517.88
9.59,3.34,1,196.18
4.29,5.92,0,304.58
0.73,6.0,1,311.46
7.75,4.09,0,220.0
3.66,6.89,1,361.82
8.95,1.58,0,96.9
2.76,6.63,0,337.02
2.19,5.62,0,285.38
4.93,2.96,1,167.86
9.01,2.85,1,170.52
6.26,0.32,1,38.52
0.74,6.72,1,347.48
4.85,5.86,1,312.7
4.68,9.49,1,493.86
4.26,5.36,1,286.52
5.21,4.49,0,234.92
4.44,5.52,0,284.88
0.4,6.59,1,340.3
6.63,5.85,1,315.76
9.67,4.45,1,251.84
1.86,9.73,1,500.22
4.19,2.92,1,164.38
2.22,1.26,1,77.44
5.77,8.64,1,453.54
6.15,12.1,1,627.3
4.11,5.59,1,297.72
4.19,6.91,1,363.88
3.29,10.87,1,560.08
5.89,1.22,1,82.78
6.63,8.78,1,462.26
9.24,3.41,0,188.98
3.05,0.26,1,29.1
3.91,2.01,1,118.32
5.31,10.13,1,527.12
3.98,7.5,0,382.96
9.89,4.33,0,236.28
5.0,8.39,0,429.5
2.96,6.98,1,364.92
8.82,1.62,1,108.64
6.22,4.3,1,237.44
3.51,2.11,0,112.52
6.39,13.0,1,672.78
4.36,4.19,0,218.22
3.44,2.15,1,124.38
1.81,11.85,1,606.12
3.5,8.31,1,432.5
2.77,3.84,1,207.54
6.6,5.06,1,276.2
3.03,7.57,1,394.56
1.54,1.72,0,89.08
